aggregator,lpra_version,attack,n_att,k,seed,rounds,strength,direction,final_f1,mean_last3_f1,rounds_all_attackers_rejected,attacker_rejections,honest_rejections,time_s
trimmed_mean,v2,flip,2,5,42,10,,,0.9393184344692759,0.9393110829813663,0,0,0,3.801462012999764
krum,v2,flip,2,5,42,10,,,0.9395623347257885,0.9395352388519808,10,20,20,3.983653115999914
multi_krum,v2,flip,2,5,42,10,,,0.9392870831736297,0.9392599771499963,10,20,0,3.9941611759995794
lpra,v2,flip,2,5,42,10,,,0.9393230863582352,0.9389978012789305,9,18,0,4.147659779999685
fedavg,v2,noise,1,5,42,10,,,0.5948588422210453,0.6992358797337824,0,0,0,4.232428899000297
median,v2,noise,1,5,42,10,,,0.9533282904689864,0.9498490657748748,0,0,0,3.701762651000081
trimmed_mean,v2,noise,1,5,42,10,,,0.9711751662971175,0.9711383704255615,0,0,0,3.8241320090000954
krum,v2,noise,1,5,42,10,,,0.9395263278914693,0.9395127805330192,10,10,30,4.007050625000375
multi_krum,v2,noise,1,5,42,10,,,0.9711383713028862,0.9711029516869848,10,10,0,3.9997570820000874
lpra,v2,noise,1,5,42,10,,,0.9712425781529437,0.9711724187302305,10,10,0,4.224446391000129
fedavg,v2,noise,2,5,42,10,,,0.7870787637088734,0.6483863779586422,0,0,0,4.005958835999991
median,v2,noise,2,5,42,10,,,0.9392870831736297,0.9392344246351186,0,0,0,4.064972570000009
trimmed_mean,v2,noise,2,5,42,10,,,0.9392870831736297,0.9392344246351186,0,0,0,4.2617965710001044
krum,v2,noise,2,5,42,10,,,0.9395623347257885,0.9395352388519808,10,20,20,3.928170057999978
multi_krum,v2,noise,2,5,42,10,,,0.9392870831736297,0.9392599771499963,10,20,0,3.838146915999914
lpra,v2,noise,2,5,42,10,,,0.9393230863582352,0.939295980215619,10,20,0,4.257308099000056
fedavg,v2,stealth,1,5,42,10,,,0.9711751662971175,0.9711267935676323,0,0,0,4.146927883999979
median,v2,stealth,1,5,42,10,,,0.9456679113007697,0.9463928859942011,0,0,0,3.5674505089996273
trimmed_mean,v2,stealth,1,5,42,10,,,0.9436692126909518,0.953204741999412,0,0,0,3.7129746649998197
krum,v2,stealth,1,5,42,10,,,0.9392349810468278,0.9392589579434018,7,7,33,3.901443689000189
multi_krum,v2,stealth,1,5,42,10,,,0.9393637408968953,0.9393397386549754,0,0,10,4.44976620899979
lpra,v2,stealth,1,5,42,10,,,0.9711751662971175,0.9711267935676323,0,0,0,4.138501789000202
fedavg,v2,stealth,2,5,42,10,,,0.9393230863582352,0.9392568731304505,0,0,0,3.7388569250001638
median,v2,stealth,2,5,42,10,,,0.9392464256966537,0.9392208721427933,0,0,0,3.4664061560001755
trimmed_mean,v2,stealth,2,5,42,10,,,0.9392464256966537,0.9392208721427933,0,0,0,3.7479132729999947
krum,v2,stealth,2,5,42,10,,,0.9392464256966537,0.9392464256966537,0,10,30,3.324281314000018
multi_krum,v2,stealth,2,5,42,10,,,0.939138433236241,0.939138433236241,0,0,20,3.83817569599978
lpra,v2,stealth,2,5,42,10,,,0.9393230863582352,0.9392568731304505,0,0,0,3.876024564999625
fedavg,v2,none,0,5,43,10,,,0.970519921386457,0.9705090640307451,0,0,0,2.8532341640002414
median,v2,none,0,5,43,10,,,0.9388927176659775,0.9388385436075543,0,0,0,2.561029759000121
trimmed_mean,v2,none,0,5,43,10,,,0.9388927176659775,0.9388010343474558,0,0,0,2.520555472000069
krum,v2,none,0,5,43,10,,,0.9383849980864907,0.9383490882070955,0,0,40,2.538567252000121
multi_krum,v2,none,0,5,43,10,,,0.93878488572413,0.9387171654182497,0,0,10,2.4595618399998784
lpra,v2,none,0,5,43,10,,,0.970519921386457,0.9705090640307451,0,0,0,2.6275950560002457
fedavg,v2,scale,1,5,43,10,,,0.9707310108509423,0.956019700237421,0,0,0,2.5904777350001496
median,v2,scale,1,5,43,10,,,0.9477920795838554,0.9477920795838554,0,0,0,2.5196531620003952
trimmed_mean,v2,scale,1,5,43,10,,,0.9431234404814326,0.9455478662892305,0,0,0,2.4555269369998314
krum,v2,scale,1,5,43,10,,,0.9386693193557026,0.9386724477937017,10,10,30,2.46629861800011
multi_krum,v2,scale,1,5,43,10,,,0.9703401943967982,0.9703286365361062,10,10,0,2.4790816970003107
lpra,v2,scale,1,5,43,10,,,0.9703748704570632,0.9703633117703081,10,10,0,2.553122094000173
fedavg,v2,scale,2,5,43,10,,,0.8932518906340896,0.9283660889866141,0,0,0,2.5129322530001446
median,v2,scale,2,5,43,10,,,0.9499810534293293,0.9484803782190668,0,0,0,2.5461206519998996
trimmed_mean,v2,scale,2,5,43,10,,,0.9499810534293293,0.9484803782190668,0,0,0,2.4174236059998293
